Case_Number,Date,Block,Offense,Description,City,State,latitude,longitude
2018012317,11/22/18,WINDSOR CT,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.744419,-88.110316
2018012046,11/15/18,BOND ST,Assault,DISORDERLY COND,Naperville  ,IL,41.788584,-88.202334
2018011002,10/18/18,MISTFLOWER LN,Assault,BATTERY  COLD,Naperville  ,IL,41.696337,-88.211951
2018012054,11/15/18,BROOKDALE RD,Assault,DOMESTIC DELAYE,Naperville  ,IL,41.784215,-88.191902
2018010937,10/17/18,S WASHINGTON ST,Assault,FIGHT IN PROGRE,Naperville  ,IL,41.760923,-88.148953
2018002000,2/24/18,E JEFFERSON AV/S WASHINGTON ST,Assault,FIGHT IN PROGRE,Naperville  ,IL,41.772922,-88.147841
2018008499,8/11/18,KENTSHIRE CR,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.728369,-88.205162
2018010354,9/30/18,COUNTRY LAKES DR,Assault,DISORDERLY COND,Naperville  ,IL,41.795713,-88.208936
2018008182,7/26/18,E BAILEY RD,Assault,FOLLOW UP,Naperville  ,IL,41.740441,-88.126846
2018003063,3/25/18,S WRIGHT ST,Assault,DOMESTIC  VERBA,Naperville  ,IL,41.762883,-88.138171
2018011585,11/2/18,S WASHINGTON ST,Assault,FIGHT IN PROGRE,Naperville  ,IL,41.777618,-88.147607
2018008414,8/8/18,SHERMAN AV,Assault,BATTERY  COLD,Naperville  ,IL,41.789179,-88.134322
2018005001,5/16/18,NAPERVILLE WHEATON RD,Assault,DOMESTIC  VERBA,Naperville  ,IL,41.795831,-88.122253
2018002909,3/20/18,BASSWOOD DR,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.752368,-88.146247
2018010730,10/10/18,BOND ST,Assault,BATTERY  COLD,Naperville  ,IL,41.788584,-88.202334
2018003517,4/8/18,ROCK SPRING RD/PLAINFIELD NAPERVILLE RD,Assault,TRAFFIC STOP,Naperville  ,IL,41.721411,-88.167408
2018004817,5/11/18,PAPAGO CT,Assault,DISORDERLY COND,Naperville  ,IL,41.797131,-88.145072
2018008665,8/16/18,INLAND CR,Assault,FIGHT IN PROGRE,Naperville  ,IL,41.782273,-88.210409
2018008097,7/31/18,E CHICAGO AV,Assault,DISORDERLY COND,Naperville  ,IL,41.771594,-88.146739
2018007328,7/12/18,BRIARHILL CT,Assault,DOMESTIC  VERBA,Naperville  ,IL,41.724692,-88.155449
2018010522,10/4/18,S RIVER RD,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.777771,-88.177322
2018009831,9/16/18,ELMWOOD DR,Assault,DOMESTIC  VERBA,Naperville  ,IL,41.753564,-88.153968
2018001514,2/9/18,ADA LN,Assault,SUSPICIOUS VEH,Naperville  ,IL,41.754296,-88.181403
2018003849,4/17/18,BOND ST,Assault,BATTERY  COLD,Naperville  ,IL,41.788584,-88.202334
2018003067,3/25/18,OLYMPUS DR,Assault,DISORDERLY COND,Naperville  ,IL,41.753584,-88.139255
2018008520,8/12/18,E CHICAGO AV,Assault,DISORDERLY COND,Naperville  ,IL,41.771594,-88.146739
2018013514,12/28/18,S ROUTE 59,Assault,ROBBERY COLD,Naperville  ,IL,41.712897,-88.205969
2018009591,9/10/18,MCDOWELL RD,Assault,ASSIST FIRE DEP,Naperville  ,IL,41.796373,-88.200634
2018007907,7/26/18,SHERIDAN CR,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.785107,-88.203318
2018012195,11/19/18,E BENTON AV,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.775062,-88.146373
2018009193,8/30/18,KIOWA DR,Assault,FIGHT IN PROGRE,Naperville  ,IL,41.739462,-88.119657
2018006303,6/15/18,SHOWPLACE DR,Assault,DISORDERLY COND,Naperville  ,IL,41.713126,-88.207189
2018006067,6/9/18,NORTH AURORA RD,Assault,BATTERY  COLD,Naperville  ,IL,41.781218,-88.204325
2018007897,7/26/18,TEMPLAR DR,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.730398,-88.145978
2018011208,10/24/18,FRASER CR,Assault,HANGUP 911 CALL,Naperville  ,IL,41.700264,-88.229815
2018003659,4/9/18,AURORA AV,Assault,BATTERY  COLD,Naperville  ,IL,41.768891,-88.154965
2018007339,7/12/18,BEACONSFIELD AV,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.723854,-88.157423
2018004626,5/6/18,HIGH MEADOW RD,Assault,ROBBERY IN PROG,Naperville  ,IL,41.678251,-88.197213
2018006834,6/29/18,E OGDEN AV,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.787294,-88.134836
2018000723,1/17/18,FORT HILL DR,Assault,BATTERY  COLD,Naperville  ,IL,41.772052,-88.195929
2018006012,6/7/18,E BAILEY RD,Assault,DOMESTIC DELAYE,Naperville  ,IL,41.740441,-88.126846
2018002517,3/10/18,NEEDHAM RD,Assault,ASSIST FIRE DEP,Naperville  ,IL,41.782523,-88.128549
2018009745,9/14/18,BOOK RD,Assault,FIGHT IN PROGRE,Naperville  ,IL,41.711395,-88.186542
2018003349,4/3/18,PRAIRIE SAGE LN,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.678408,-88.198091
2018003635,4/11/18,BOND,Assault,WELL BEING CHEC,Naperville  ,IL,41.794172,-88.202334
2018011692,11/6/18,ANNA MARIE LN,Assault,BATTERY  COLD,Naperville  ,IL,41.710471,-88.208578
2018002571,3/12/18,CORDAY DR,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.757762,-88.187916
2018002250,3/2/18,INLAND CR,Assault,DOMESTIC  VERBA,Naperville  ,IL,41.782273,-88.210409
2018006602,6/23/18,W CHICAGO AV/S WASHINGTON ST,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.771508,-88.147987
2018001467,2/8/18,LAKEWOOD CR,Assault,BATTERY  COLD,Naperville  ,IL,41.749109,-88.190545
2018009871,9/17/18,FAIRWAY DR,Assault,DOMESTIC DELAYE,Naperville  ,IL,41.790881,-88.217111
2018010592,10/6/18,WINDEMERE AV,Assault,UNKNOWN PROBLEM,Naperville  ,IL,41.713802,-88.168973
2018007473,7/16/18,BROOKDALE RD,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.792146,-88.198908
2018002485,3/9/18,SHOWPLACE DR,Assault,DISORDERLY COND,Naperville  ,IL,41.713126,-88.207189
2018012169,11/18/18,E CHICAGO AV/S WASHINGTON ST,Assault,FIGHT IN PROGRE,Naperville  ,IL,41.771508,-88.147987
2018008368,8/7/18,RAYMOND DR,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.793791,-88.187357
2018004773,5/10/18,E BENTON AV,Assault,SUBJECT WITH A,Naperville  ,IL,41.775062,-88.146373
2018005211,5/21/18,WATERLEAF CT,Assault,UNKNOWN PROBLEM,Naperville  ,IL,41.725213,-88.204977
2018000187,1/6/18,NAPERVILLE WHEATON RD,Assault,DISORDERLY COND,Naperville  ,IL,41.795831,-88.122253
2018011772,11/7/18,95TH ST,Assault,BATTERY  COLD,Naperville  ,IL,41.709924,-88.191836
2018008644,8/16/18,FOXCROFT RD,Assault,ROBBERY IN PROG,Naperville  ,IL,41.733156,-88.136171
2018010387,10/1/18,ALANDALE CR,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.711398,-88.185855
2018010059,9/22/18,S WASHINGTON ST/JACKSON AV,Assault,SUSPICIOUS VEH,Naperville  ,IL,41.771855,-88.147916
2018007018,7/3/18,REDPOLL CT,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.739889,-88.130943
2018003047,3/24/18,OLYMPUS DR,Assault,FIGHT IN PROGRE,Naperville  ,IL,41.753584,-88.139255
2018005254,5/21/18,E BENTON AV/N BRAINARD ST,Assault,BATTERY IN PROG,Naperville  ,IL,41.774999,-88.143686
2018001888,2/20/18,DAKOTA CR,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.800344,-88.133996
2018003165,3/28/18,MECAN DR,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.725365,-88.176679
2018013254,12/19/18,ENCINA DR/S WHISPERING HILLS DR,Assault,DOMESTIC DELAYE,Naperville  ,IL,41.772694,-88.182081
2018006041,6/9/18,CONTINENTAL AV,Assault,SUICIDE THREATS,Naperville  ,IL,41.780422,-88.210492
2018003263,3/31/18,AURORA AV,Assault,THEFT,Naperville  ,IL,41.763224,-88.196329
2018005968,6/7/18,RUTLAND CR,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.723408,-88.204649
2018001026,1/27/18,W OGDEN AV,Assault,FIGHT IN PROGRE,Naperville  ,IL,41.754667,-88.201931
2018001707,2/15/18,ONEIDA LN,Assault,DOMESTIC  PHYSI,Naperville  ,IL,41.785522,-88.223876
2018000462,1/13/18,FULHAM DR,Assault,RUNAWAY JUVENIL,Naperville  ,IL,41.728416,-88.203152
2018008166,8/2/18,S NAPER BL,Assault,FIGHT IN PROGRE,Naperville  ,IL,41.749065,-88.115066
2018010862,10/15/18,95TH ST,Assault,BATTERY  COLD,,IL,41.709924,-88.191836
2018013307,12/20/18,E OGDEN AV,Assault,BATTERY IN PROG,,IL,41.787294,-88.134836
2018011544,11/2/18,NAPERVILLE WHEATON RD,Assault,UNKNOWN PROBLEM,,IL,41.795831,-88.122253
2018009473,9/6/18,S WASHINGTON ST,Assault,DISORDERLY COND,,IL,41.760923,-88.148953
2018009325,9/3/18,PETWORTH CT,Assault,DOMESTIC  PHYSI,,IL,41.726142,-88.135601
2018004717,5/8/18,SKYLANE DR,Assault,DOMESTIC  VERBA,,IL,41.713618,-88.194731
2018005750,6/2/18,BAINBRIDGE DR,Assault,DOMESTIC  PHYSI,,IL,41.790852,-88.192834
2018001148,1/30/18,E BAILEY RD,Assault,SUSPICIOUS VEH,,IL,41.740441,-88.126846
2018001664,2/14/18,FORT HILL DR,Assault,BATTERY  COLD,,IL,41.769225,-88.195965
2018011202,10/24/18,AUDREY AV,Assault,DOMESTIC  PHYSI,,IL,41.749559,-88.200077
2018000774,1/22/18,CEDAR GLADE DR,Assault,BATTERY  COLD,,IL,41.709666,-88.200934
2018002304,3/4/18,INLAND CR,Assault,DOMESTIC  PHYSI,,IL,41.782273,-88.210409
2018005315,5/4/18,OLYMPUS DR,Assault,BATTERY  COLD,,IL,41.747501,-88.139256
2018009913,9/18/18,FAIRWAY DR,Assault,DOMESTIC  VERBA,,IL,41.790881,-88.217111
2018004658,5/7/18,BOND ST,Assault,BATTERY  COLD,,IL,41.788584,-88.202334
2018004370,4/30/18,S WHISPERING HILLS DR,Assault,SUICIDE THREATS,,IL,41.775669,-88.182141
2018001542,2/10/18,NORWICH CT,Assault,DOMESTIC DELAYE,,IL,41.725466,-88.152113
2018007570,7/18/18,SWIFT LN,Assault,DISORDERLY COND,,IL,41.744925,-88.135469
2018012882,12/8/18,NORTH AURORA RD,Assault,WELL BEING CHEC,,IL,41.780013,-88.183631
2018013095,12/14/18,BROOKDALE RD,Assault,BATTERY IN PROG,,IL,41.784625,-88.194241
2018001671,2/14/18,S WEST ST,Assault,FIGHT IN PROGRE,,IL,41.760851,-88.158016
2018006061,6/9/18,S WHISPERING HILLS DR,Assault,DOMESTIC  PHYSI,,IL,41.775669,-88.182141
2018013576,12/30/18,W CHICAGO AV,Assault,DISORDERLY COND,,IL,41.771594,-88.146739
2018001517,2/9/18,KIOWA DR,Assault,CITIZEN ASSIST,,IL,41.739415,-88.119862
2018013200,12/17/18,S ROUTE 59,Assault,BATTERY  COLD,,IL,41.757131,-88.205942
2018000921,1/25/18,E OGDEN AV,Assault,FIGHT IN PROGRE,,IL,41.785719,-88.147133
2018011673,11/5/18,SECRETARIAT DR,Assault,DOMESTIC  PHYSI,,IL,41.758612,-88.126131
2018011143,10/23/18,SNAPJACK CR,Assault,DOMESTIC DELAYE,,IL,41.683786,-88.189279
2018002802,3/18/18,N SLEIGHT ST,Assault,FIGHT IN PROGRE,,IL,41.785846,-88.139733
2018008441,8/9/18,HERCULES LN,Assault,SUICIDE THREATS,,IL,41.751188,-88.141582
2018006889,6/30/18,CENTER ST,Assault,DISORDERLY COND,,IL,41.778601,-88.146215
2018013200,12/17/18,S ROUTE 59,Assault,BATTERY  COLD,,IL,41.757131,-88.205942
2018000755,1/22/18,BRIERGATE DR,Assault,UNWANTED SUBJEC,,IL,41.788735,-88.169804
2018007631,7/19/18,POMEROON ST,Assault,DISORDERLY COND,,IL,41.757166,-88.190437
2018005543,5/28/18,ROLLING MEADOWS DR,Assault,DOMESTIC  PHYSI,,IL,41.714515,-88.167977
2018009022,8/25/18,W JEFFERSON AV,Assault,DOMESTIC  PHYSI,,IL,41.773323,-88.161357
2018011188,10/24/18,FAIRWAY DR,Assault,DOMESTIC  PHYSI,,IL,41.790881,-88.217111
2018002304,3/4/18,INLAND CR,Assault,DOMESTIC  PHYSI,,IL,41.782273,-88.210409
2018006041,6/9/18,CONTINENTAL AV,Assault,SUICIDE THREATS,,IL,41.780422,-88.210492
2018005971,6/7/18,W JEFFERSON AV,Assault,DISORDERLY COND,,IL,41.769293,-88.201762
2018010823,10/13/18,S WASHINGTON ST,Assault,FIGHT IN PROGRE,,IL,41.777618,-88.147607
2018003729,4/13/18,COUNTRY LAKES DR,Assault,DOMESTIC  VERBA,,IL,41.795713,-88.208936
2018009473,9/6/18,S WASHINGTON ST,Assault,DISORDERLY COND,,IL,41.760923,-88.148953
2018003699,4/12/18,CEDAR GLADE DR,Assault,DISORDERLY COND,,IL,41.714776,-88.201887
2018011882,11/11/18,N MILL ST,Assault,ASSIST FIRE DEP,,IL,41.787926,-88.154513
2018012640,12/2/18,QUINCY AV,Assault,BATTERY  COLD,,IL,41.774818,-88.191067
2018006961,7/2/18,AURORA AV,Assault,DOMESTIC  PHYSI,,IL,41.766168,-88.177991
2018005991,6/8/18,W OGDEN AV,Assault,DOMESTIC  VERBA,,IL,41.785763,-88.142893
2018002693,3/15/18,HERITAGE HILL DR,Assault,DOMESTIC  PHYSI,,IL,41.783619,-88.166804
2018008550,8/13/18,INLAND CR,Assault,DOMESTIC  PHYSI,,IL,41.782273,-88.210409
2018010404,9/17/18,AURORA AV,Assault,DISORDERLY COND,,IL,41.768891,-88.154965
2018004561,5/5/18,E CHICAGO AV,Assault,DISORDERLY COND,,IL,41.771594,-88.146739
2018011452,10/18/18,S NAPER BL,Assault,DISORDERLY COND,,IL,41.751878,-88.115175